goods_id,product_id,name,img,measure,cheap_url,mall_name,search_name,sort option,divide,amount
0,0,오리온 포카칩 오리지널(66g),,g,,Homeplus,<b>오리온 포카칩<\/b> 오리지날 <b>66G<\/b>,,,66
1,0,포테토칩 오리지날(125g),,g,,이마트몰,<b>농심<\/b> <b>포테토칩<\/b> 오리지널 <b>125g<\/b> \/ 감자칩 스낵,,,125
2,1,롯데 자일리톨 오리지날(87g),,g,,이마트몰,<b>롯데<\/b>제과 <b>자일리톨<\/b>껌 오리지널 (용기) <b>87g<\/b>,,,87
3,3,아이비(270g),,g,,이마트몰,[해태] <b>아이비<\/b> <b>270g<\/b>,,,270
4,3,참크래커(280g),,g,,이마트몰,[크라운] <b>참크래커<\/b> <b>280g<\/b>,,,280
5,4,메로나(75ml),,ml,,이마트몰,[빙그레] <b>메로나<\/b>망고 <b>75ml<\/b>,,,75
6,5,롯데 목캔디 허브민트(217g),,g,,농협하나로마트,"<b>롯데 목캔디 허브민트<\/b>, <b>217g<\/b>",,,217
7,5,오리온 통아몬드 캔디(90g),,g,,농협하나로마트,"<b>오리온 통아몬드 캔디<\/b>, <b>90g<\/b>",,,90
8,6,롯데 월드콘 바닐라(160ml),,ml,,이마트몰,<b>월드콘바닐라<\/b> <b>160ml<\/b>,,,160
9,6,투게더 오리지널 바닐라(900ml),,ml,,이마트몰,빙그레 <b>투게더<\/b> <b>바닐라<\/b>맛 <b>900ml<\/b> <b>오리지널<\/b> 아이스크림,,,900
10,7,닥터유 에너지바(40g),,g,,이마트몰,오리온 <b>닥터유 에너지바<\/b> 호두 <b>40g<\/b>,,,40
11,7,닥터유 에너지바(4개입),,g,,이마트몰,오리온 <b>닥터유 에너지바<\/b> 40gx4봉지 160g,,,160
12,7,켈로그 레드베리 에너지바(4개입),,g,,이마트몰,<b>켈로그 레드베리 에너지바<\/b> <b>4입<\/b>(25g4),,,100
13,8,자유시간(36g),,g,,이마트몰,해태<b>자유시간<\/b><b>36g<\/b>,,,36
14,8,자유시간(5개입),,g,,이마트몰,해태 <b>자유시간<\/b> 180g(36g5),,,180
15,8,핫브레이크 미니(714g),,g,,이마트몰,오리온 <b>핫브레이크 미니<\/b> <b>714g<\/b>,,,714
16,9,몽쉘 크림(384g),,g,,이마트몰,롯데 <b>몽쉘크림<\/b> 12입 <b>384g<\/b>,,,384
17,9,오리온 초코파이(18개입),,g,,이마트몰,[<b>오리온<\/b>] <b>초코파이<\/b> 정 새로운시작 <b>18팩<\/b> 702g (39g*<b>18팩)<\/b>,,,702
18,10,롯데 ABC 초코(187g),,g,,이마트몰,<b>롯데<\/b>제과 <b>abc초콜릿<\/b> <b>187g<\/b>,,,187
19,10,롯데 빅가나 마일드(110g),,g,,이마트몰,<b>롯데 빅가나<\/b> <b>110g<\/b>,,,110
20,11,양조간장 501,,ml,,이마트몰,[<b>샘표] 양조간장 501<\/b> 150ml,,,150
21,11,진간장 금F3(930ml),,ml,,이마트몰,<b>[샘표]<\/b> <b>진간장 금F3<\/b> <b>860ml<\/b>,,,860
22,12,순창 오리지널 우리쌀 찰고추장(1kg),,g,,농협하나로마트,"대상 청정원 <b>순창<\/b> 현미 태양초 매운<b>고추장<\/b>, <b>1kg<\/b>",,,1000
23,12,해찬들 우리쌀태양초골드(1kg),,g,,이마트몰,[<b>해찬들<\/b>] <b>우리쌀<\/b>로 만든 <b>태양초 골드<\/b> 고추장 <b>1kg<\/b>,,,1000
24,13,백설 소면(900g),,g,,이마트몰,[<b>백설<\/b>] 제일제면소 <b>소면<\/b> <b>900g<\/b>,,,900
25,13,옛날국수 소면(900g),,g,,이마트몰,[오뚜기] <b>옛날 국수 소면<\/b> <b>900g<\/b>,,,900
26,14,아카시아꿀,,g,,Homeplus,<b>홈플러스<\/b>시그니처 <b>아카시아 꿀 500G<\/b>,,,500
27,15,CJ 100% 국산 햇당면(400g),,g,,이마트몰,<b>[CJ] 백설 햇당면 500g<\/b>,,,400
28,15,백설 자른 햇당면(300g),,g,,이마트몰,<b>백설<\/b><b>햇당면<\/b><b>300g<\/b>,,,300
29,15,옛날 자른당면(300g),,g,,이마트몰,[오뚜기] <b>옛날<\/b> <b>당면<\/b> <b>300g<\/b>,,,300
30,15,옛날당면,,g,,Homeplus,<b>오뚜기 옛날 당면 1KG<\/b>,,,1000
31,16,샘표 시골집 토장(900g),,g,,이마트몰,<b>샘표 토장<\/b> <b>900g<\/b>,,,900
32,16,순창 재래식안심생된장(1kg),,g,,이마트몰,[청정원] <b>순창 재래식생된장<\/b> <b>1kg<\/b>,,,1000
33,16,해찬들 재래식 된장(1kg),,g,,이마트몰,[<b>해찬들<\/b>] <b>재래식 된장<\/b> <b>1kg<\/b>,,,1000
34,17,국산콩두부 부침용(380g),,g,,이마트몰,풀무원 <b>국산콩두부<\/b>(<b>부침<\/b>)<b>380g<\/b>,,,380
